family,reference,experiment,task,run,run_index,model,llm,groups_n,edit_distance,edit_distance_sd,edit_distance_se,f1,f1_sd,f1_se,jaccard,jaccard_sd,jaccard_se,overlap,overlap_sd,overlap_se,precision,precision_sd,precision_se,recall,recall_sd,recall_se
baseline,explainer,baseline_cosine,,,,,structural_baseline,15,2.0733333333333333,0.14175767384955967,0.036601674001096485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,explainer,baseline_feature,,,,,structural_baseline,15,1.1633333333333333,0.5309246202437333,0.13708414748636508,0.9693382561545099,0.012525420092399226,0.0032340495614742643,0.9604960579011768,0.016158660584139232,0.004172148222625963,1.0,0.0,0.0,0.9604960579011768,0.016158660584139232,0.004172148222625963,1.0,0.0,0.0
baseline,explainer,baseline_random,,,,,structural_baseline,15,4.615,0.19488091601942825,0.05031803614912612,0.1530576676291563,0.16301720366620057,0.04209086099629983,0.11887800265659278,0.1376142378896044,0.03553184343649757,0.15983333333333333,0.16584416092912566,0.04282077822294976,0.15108924347731403,0.16258162439656407,0.04197839491248281,0.15983333333333333,0.16584416092912566,0.04282077822294976
baseline,ground_truth,baseline_cosine,,,,,structural_baseline,15,3.236666666666667,0.5887233969320721,0.15200772745603824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baseline,ground_truth,baseline_feature,,,,,structural_baseline,15,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
baseline,ground_truth,baseline_random,,,,,structural_baseline,15,5.3133333333333335,0.4917413179808301,0.12696706234545604,0.15954140251283222,0.1669725331574749,0.043112122679531066,0.12258942342004277,0.13983685476449237,0.036105720645926945,0.15954140251283222,0.1669725331574749,0.043112122679531066,0.15954140251283222,0.1669725331574749,0.043112122679531066,0.15954140251283222,0.1669725331574749,0.043112122679531066
reconstruction,explainer,reconstruction_1hop,,,,,Qwen/Qwen2.5-3B,3,3.830833333333333,0.18142376727797635,0.10474506087533567,0.03856788119288121,0.0035635904135979902,0.0020574398845723697,0.023398648973145874,0.002522449726030087,0.0014563370283407686,0.11070833333333333,0.006876514984593091,0.003970157777441316,0.023497398706957526,0.0026426691668116004,0.0015257457548378016,0.11070833333333333,0.006876514984593091,0.003970157777441316
reconstruction,explainer,reconstruction_1hop,,,,,Qwen/Qwen3.5-27B,3,5.948333333333333,0.1025101620978784,0.05918426968188227,0.11109635734635728,0.007711835970531439,0.0044524305735325655,0.06445231851481838,0.004407851760779583,0.0025448744006340584,0.41,0.030413812651491092,0.01755942292142123,0.06447591991341978,0.00442856399833759,0.002556832616563693,0.41,0.030413812651491092,0.01755942292142123
reconstruction,explainer,reconstruction_1hop,,,,,Qwen/Qwen3.5-35B-A3B,3,4.2716666666666665,0.22969182252168535,0.1326126355635508,0.12392923280423294,0.007858332825687571,0.004537010572292392,0.07347840354090342,0.004679684495979129,0.0027018171034760684,0.4058333333333333,0.025041632002194524,0.014457792977414556,0.07347840354090342,0.004679684495979129,0.0027018171034760684,0.4058333333333333,0.025041632002194524,0.014457792977414556
reconstruction,explainer,reconstruction_1hop,,,,,Qwen/Qwen3.5-4B,3,4.966666666666667,0.21221058723195974,0.12251983966326052,0.029296296296296303,0.0012025844773354112,0.0006943124717128652,0.01724007936507937,0.0006339658309342393,0.00036602034314690786,0.1,0.006614378277661474,0.0038188130791298657,0.01724007936507937,0.0006339658309342393,0.00036602034314690786,0.1,0.006614378277661474,0.0038188130791298657
reconstruction,explainer,reconstruction_1hop,,,,,Qwen/Qwen3.5-9B,3,5.6475,0.20200556923015758,0.11662796977283507,0.04358134920634917,0.014770646066752682,0.008527836482744348,0.024791666666666677,0.008433536063916692,0.004869104316722719,0.18166666666666667,0.060535802078880006,0.03495036162585128,0.024791666666666677,0.008433536063916692,0.004869104316722719,0.18166666666666667,0.060535802078880006,0.03495036162585128
reconstruction,explainer,reconstruction_1hop_embed_expl,,,,,Qwen/Qwen2.5-3B,3,8.245,0.41536128851880266,0.23980895173728053,0.09348034275665848,0.014267830883036388,0.008237536001073114,0.056335530317921864,0.008995975442003824,0.005193828843064171,0.27205555555555555,0.031088732030419966,0.017949087806527108,0.05658993471125814,0.009269991260252531,0.0053520319494922775,0.27205555555555555,0.031088732030419966,0.017949087806527108
reconstruction,explainer,reconstruction_1hop_embed_expl,,,,,Qwen/Qwen3.5-27B,3,6.295833333333333,0.22776541294352237,0.1315004224750289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reconstruction,explainer,reconstruction_1hop_embed_expl,,,,,Qwen/Qwen3.5-35B-A3B,3,11.239166666666668,0.3250512780059993,0.18766844285719558,0.0025462962962962965,0.0010788129812713933,0.0006228529651423017,0.0014299242424242425,0.0006028709864544321,0.0003480677263160816,0.011666666666666667,0.0052041649986653326,0.0030046260628866584,0.0014299242424242425,0.0006028709864544321,0.0003480677263160816,0.011666666666666667,0.0052041649986653326,0.0030046260628866584
reconstruction,explainer,reconstruction_1hop_embed_expl,,,,,Qwen/Qwen3.5-4B,3,9.98,0.2891474537325202,0.1669393602479654,0.001091269841269841,0.0018901348098469889,0.0010912698412698413,0.0006313131313131311,0.0010934664189197457,0.0006313131313131313,0.004166666666666667,0.007216878364870323,0.0041666666666666675,0.0006313131313131311,0.0010934664189197457,0.0006313131313131313,0.004166666666666667,0.007216878364870323,0.0041666666666666675
reconstruction,explainer,reconstruction_1hop_embed_expl,,,,,Qwen/Qwen3.5-9B,3,4.7775,0.17268106439329134,0.09969745901141785,0.02148148148148148,0.0006415002990995823,0.00037037037037036927,0.012083333333333333,0.00036084391824351645,0.00020833333333333354,0.09666666666666666,0.0028867513459481316,0.0016666666666666683,0.012083333333333333,0.00036084391824351645,0.00020833333333333354,0.09666666666666666,0.0028867513459481316,0.0016666666666666683
reconstruction,explainer,reconstruction_1hop_no_gnn,,,,,Qwen/Qwen2.5-3B,3,5.58,1.21250773193411,0.700041665426661,0.2902312168109383,0.12432752320873787,0.07178052899224426,0.21400360919681777,0.10756117883611527,0.06210047555538463,0.563,0.12464884008017608,0.07196604137446427,0.23380650919070067,0.12926948046082215,0.07463376934205875,0.563,0.12464884008017608,0.07196604137446427
reconstruction,explainer,reconstruction_1hop_no_gnn,,,,,Qwen/Qwen3.5-27B,3,7.425833333333333,0.20619064802588216,0.11904422614212645,0.19488095238095257,0.02093580242382082,0.01208729116509377,0.11246031746031761,0.012155300191740402,0.007017865837782031,0.7333333333333333,0.07571877794400361,0.04371625682867999,0.11246031746031761,0.012155300191740402,0.007017865837782031,0.7333333333333333,0.07571877794400361,0.04371625682867999
reconstruction,explainer,reconstruction_1hop_no_gnn,,,,,Qwen/Qwen3.5-35B-A3B,3,8.615833333333333,0.30627125776561787,0.17682579311602475,0.1852108262108264,0.013781986179861256,0.007957033430910598,0.10618145743145763,0.007945051897337458,0.004587077851653329,0.6977777777777778,0.04750243658467932,0.027425544549327736,0.10689574314574332,0.008075972538921726,0.004662664919314484,0.6977777777777778,0.04750243658467932,0.027425544549327736
reconstruction,explainer,reconstruction_1hop_no_gnn,,,,,Qwen/Qwen3.5-4B,3,9.270833333333334,0.16568670234310737,0.09565926219893445,0.18659523809523826,0.008372933122287327,0.004834115192059322,0.10696581196581217,0.004454065349251388,0.0025715558283784736,0.7016666666666668,0.029486343354923488,0.01702394827338281,0.10773809523809544,0.004919994838040962,0.0028405603441545185,0.7016666666666668,0.029486343354923488,0.01702394827338281
