family,reference,experiment,task,run,run_index,model,llm,groups_n,accuracy,accuracy_sd,accuracy_se,f1,f1_sd,f1_se,precision,precision_sd,precision_se,recall,recall_sd,recall_se
,,embedding_classification,,,,GAT,Qwen/Qwen2.5-3B,3,0.03666666666666667,0.015275252316519468,0.00881917103688197,0.07045895281189399,0.02856512299841166,0.016492081452567742,0.03666666666666667,0.015275252316519468,0.00881917103688197,1.0,0.0,0.0
,,embedding_classification,,,,GAT,Qwen/Qwen3.5-27B,3,0.013333333333333334,0.011547005383792516,0.006666666666666667,0.05216095380029806,0.046915279399991634,0.027086549190691676,0.02717245090126446,0.02451165559299026,0.014151810954896324,0.6666666666666666,0.5773502691896257,0.3333333333333333
,,embedding_classification,,,,GAT,Qwen/Qwen3.5-35B-A3B,3,0.026666666666666665,0.015275252316519466,0.008819171036881969,0.029996629592180656,0.026022080413828943,0.01502385513179823,0.015343915343915344,0.013311900132708068,0.007685629125044419,0.6666666666666666,0.5773502691896257,0.3333333333333333
,,embedding_classification,,,,GAT,Qwen/Qwen3.5-4B,3,0.05666666666666667,0.015275252316519468,0.00881917103688197,0.06453766023071561,0.061541664931243995,0.03553109681443147,0.03405483405483405,0.033494111981659594,0.019337834568878637,1.0,0.0,0.0
,,embedding_classification,,,,GAT,Qwen/Qwen3.5-9B,3,0.7633333333333333,0.01527525231651948,0.008819171036881977,0.031746031746031744,0.0549857399228215,0.031746031746031744,0.0196078431372549,0.03396178054056622,0.0196078431372549,0.08333333333333333,0.14433756729740643,0.08333333333333333
,,embedding_classification,,,,GCN,Qwen/Qwen2.5-3B,3,0.08,0.03605551275463989,0.020816659994661327,0.04189515244571178,0.02161312963412506,0.012478346212292381,0.021478777070882332,0.011281221345909156,0.0065132161808484045,1.0,0.0,0.0
,,embedding_classification,,,,GCN,Qwen/Qwen3.5-27B,3,0.18000000000000002,0.017320508075688773,0.01,0.09365079365079367,0.042680411618250015,0.02464154713692068,0.04995579133510168,0.023438932169428054,0.013532473797536667,0.8333333333333334,0.28867513459481287,0.16666666666666666
,,embedding_classification,,,,GCN,Qwen/Qwen3.5-35B-A3B,3,0.01,0.01,0.005773502691896258,0.01388888888888889,0.02405626121623441,0.013888888888888892,0.0070921985815602835,0.012284048280630335,0.007092198581560284,0.3333333333333333,0.5773502691896257,0.3333333333333333
,,embedding_classification,,,,GCN,Qwen/Qwen3.5-4B,3,0.20333333333333334,0.040414518843273795,0.02333333333333333,0.03783602150537634,0.010546365636105157,0.006088947038977531,0.01941349482333089,0.005687542328189075,0.0032837040942073534,0.8888888888888888,0.1924500897298753,0.11111111111111113
,,embedding_classification,,,,GCN,Qwen/Qwen3.5-9B,3,0.6900000000000001,0.04358898943540671,0.025166114784235822,0.023809523809523808,0.041239304942116126,0.02380952380952381,0.013333333333333334,0.023094010767585032,0.013333333333333334,0.1111111111111111,0.19245008972987523,0.1111111111111111
,,embedding_classification,,,,GIN,Qwen/Qwen2.5-3B,3,0.043333333333333335,0.015275252316519466,0.008819171036881969,0.04621113091701326,0.029607397371923107,0.017093838842684027,0.023809523809523808,0.01558699215971374,0.008999154119267314,1.0,0.0,0.0
,,embedding_classification,,,,GIN,Qwen/Qwen3.5-27B,3,0.32,0.05291502622129181,0.030550504633038933,0.02380952380952381,0.04123930494211613,0.023809523809523815,0.012820512820512822,0.022205779584216375,0.012820512820512822,0.16666666666666666,0.28867513459481287,0.16666666666666666
,,embedding_classification,,,,GIN,Qwen/Qwen3.5-35B-A3B,3,0.01,0.01,0.005773502691896258,0.035303776683087026,0.03572136275501985,0.020623738402430983,0.018193632228719947,0.018527066185033466,0.010696606649223086,0.6666666666666666,0.5773502691896257,0.3333333333333333
,,embedding_classification,,,,GIN,Qwen/Qwen3.5-4B,3,0.17333333333333334,0.07094598884597587,0.04096068575814836,0.044480904201987054,0.03950293167304888,0.022807028235214164,0.023434343434343436,0.020865860741293506,0.01204691031585905,0.4444444444444444,0.38490017945975047,0.2222222222222222
,,embedding_classification,,,,GIN,Qwen/Qwen3.5-9B,3,0.5933333333333334,0.05033222956847165,0.02905932629027115,0.049206349206349205,0.05001889287805947,0.028878421267714692,0.02587719298245614,0.026326752102559504,0.015199757413301276,0.5,0.5,0.2886751345948129
,,embedding_classification,,,,GraphSAGE,Qwen/Qwen2.5-3B,3,0.09666666666666666,0.025166114784235825,0.014529663145135575,0.06162747293766331,0.03951973413811614,0.022816729142943797,0.03207896992891394,0.021010721211594117,0.012130545547382044,1.0,0.0,0.0
,,embedding_classification,,,,GraphSAGE,Qwen/Qwen3.5-27B,3,0.2,0.026457513110645897,0.015275252316519463,0.07545219638242893,0.06838129160526342,0.03947995711583313,0.04047619047619048,0.03665429599604917,0.02116236766027521,0.5555555555555556,0.5091750772173156,0.2939723678960657
,,embedding_classification,,,,GraphSAGE,Qwen/Qwen3.5-35B-A3B,3,0.023333333333333334,0.015275252316519466,0.008819171036881969,0.030011630596176987,0.002698411969963355,0.0015579288772428514,0.015235690235690236,0.0013908006432540663,0.0008029791257718399,1.0,0.0,0.0
,,embedding_classification,,,,GraphSAGE,Qwen/Qwen3.5-4B,3,0.25666666666666665,0.049328828623162464,0.028480012484391765,0.04456015055093396,0.014540095745903718,0.008394728192940445,0.023309367627920234,0.008125310954070852,0.0046911504665822215,0.6666666666666666,0.28867513459481287,0.16666666666666666
,,embedding_classification,,,,GraphSAGE,Qwen/Qwen3.5-9B,3,0.5733333333333334,0.02886751345948125,0.016666666666666646,0.06809116809116808,0.060438491540150685,0.03489417936012092,0.03714961161769672,0.03317781264980517,0.019155219064487986,0.4222222222222222,0.36717136981907345,0.2119864892037657
,,embedding_classification_explainer_subgraph,,,,GAT,Qwen/Qwen2.5-3B,3,0.05333333333333334,0.02081665999466133,0.012018504251546634,0.07170757052861197,0.029325636881098963,0.016931164347459705,0.03734625163196592,0.015699500755887615,0.009064110987554448,1.0,0.0,0.0
,,embedding_classification_explainer_subgraph,,,,GAT,Qwen/Qwen3.5-27B,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,embedding_classification_explainer_subgraph,,,,GAT,Qwen/Qwen3.5-35B-A3B,3,0.023333333333333334,0.005773502691896257,0.003333333333333333,0.048337434616478506,0.016058102741577106,0.00927114994052421,0.024813350900307424,0.008393287155738425,0.004845866598751409,1.0,0.0,0.0
,,embedding_classification_explainer_subgraph,,,,GAT,Qwen/Qwen3.5-4B,3,0.33999999999999997,0.04358898943540674,0.025166114784235836,0.10896057347670252,0.07325519544556541,0.04229390681003584,0.0627763041556145,0.04560354679222935,0.026329220016495312,0.6166666666666667,0.37527767497325676,0.21666666666666667
